"complaint-layer","username","js-tooltip","js-view-count","complaint-description","ellipsis-text","sv-model-button"
"Vodafone Şubeleri Çalışanlarının Mağdur Etme Çabası","Rabia","05 Temmuz 18:34","264","Vodafone İzmir Torbalı Mercan İletişim Tepeköy Mahallesi İsmetpaşa Caddesi No:18 İzmir şubesindeki Nur isimli çalışan, Vodafone kayıtlı 61 lira olan faturamı zamanı geçmiş ek paket oluşturmuşlar diyerek Mayıs ayında paketimi değiştirmek istedi. Kabul etmedim. Bugün, 05.07.2024 tarihinde 16:47:47 saa","...","#Tarife Değişikliği"
"Vodafone Yeni Hattı 3 Gündür Açmadı","Dm Dm","05 Temmuz 18:34","249","Vodafone Dijital Kurye ile aldığım yeni hat 3 gündür açılmıyor. 0850 549 0 542 numaralı konuyla ilgili telefon numarası yanıt vermiyor. Müşteri temsilcisi çözemiyor. Bayi yapabileceğim bir şey yok diyor. Bu mesajı okuyan sayın yetkili lütfen benimle bağlantıya geçin.","","#SIM Kartı"
"Vodafone Tarifelerinde Beklenmedik Fiyat Artışı","Mustafa","05 Temmuz 18:27","221","Yıllardır Vodafone hattı kullanıyorum ve üzerime kayıtlı 3 tane hat bulunuyor. Ev internetim dahil hepsi Vodafone. Tarife sürem bitti ve yeni tarife i","...","#Fatura"
"Vodafone Mağduru Düşük Tarifeye Geçememek","Muhammet","05 Temmuz 18:19","254","Vodafone red30gb paketini taahhütlü olarak 141.18 TL'ye kullanıyordum taahhüt sürem 01.06.2024 tarihinde bitmiş ve paketimi 687.51 TL karşılığında yenilemiş böyle bir saçmalık olur mu. Daha düşük tarifeye geçmek istiyorum onu da yapmıyorlar aksine daha yüksek paket sunuyorlar. Mağduriyetimin gideril","...","#Tarife Değişikliği"
"Vodafone'dan Hediye İnternetlerimizin Yüklenmemesi","Rana","05 Temmuz 18:18","115","Vodafone hediye çarkından aldığım internet veya oyunlardan kazandığım internetler hattıma yüklenmiyor. Bazen yarışmalarda kodlar veriliyor ama girdiğimizde geçersiz sayılıyor. Yarışmalara boşuna katılmış oluyoruz. Vaktimiz harcanıyor. Bu durumu daha önce de birçok kez yaşadım.","","#Hediye Çarkı"
"Vodafone Geçebileceğim Paketlerin Pahalılığı","Narin","05 Temmuz 18:10","128","Vodafone fatura fiyatı her yıl daha da artmakta. 300 TL'den 1000 TL'ye çıkmakta. İndirim yerine fiyatı artırmaktan başka bir faydalarını görmedim. Kaç yıldır Vodafone kullanıcısıyım, hiçbir faydalarını görmedim. Hem çalıştığım ortamda çekmemekte, her yıl fiyat kat kat artmakta.","","#Fatura"
"Vodafone Almadığım Ürünün Ücretinin Kesilmesi","Özlem","05 Temmuz 18:10","78","Ben DeFacto'dan Vodafone faturama yansıt diyerek ürün siparişi vermek istedim siparişim başarısız olmasına rağmen ücreti benden kesildi ücretin iadesini talep ediyorum. En kısa sürede yardımcı olursanız sevinirim. Almadığın ürünü parası faturama yansıyacak, böyle bir şey olabilir mi?","","#Mobil İnternet"
"Vodafone Yine İnsanları Mağdur Ediyor.","Kayra","05 Temmuz 18:10","117","Vodafone'da sınırsız bir paket kullanıyordum paketimin bittiği ay beni arayıp bir tarife önerdiler sonrasında kabul ettim fakat onaylamadığımı söyledi","...","#Fatura"
"Vodafone Hat Taşıma Büyük Bir Hata","Bendel","05 Temmuz 18:03","160","Hattımı taşımadılar, telefonları düşmüyor. Vodafone'dan imtina edin. Telefon ediyorsunuz, hallediyoruz diyorlar, sonra başka bir numaraya yönlendiriyorlar, o da meşgule düşüyor. Büyük ihtimalle sizi engelliyorlar. Reklam için internette verdikleri ilanlar yanıltıcı, kesinlikle tekel oluşturmuşlar, t","...","#Numara Taşıma"
"Vodafone Borcum Olmamasına Rağmen Fatura Geldi","Güler","05 Temmuz 18:03","124","Son faturamı ödedikten sonra taahhüdümün bittiğini öğrenip başka operatöre geçtim. Herhangi bir borcum olmadığını söylediler. 1 ay sonra adıma 900 TL lik fatura geldi normal faturam 480 TL olmasına rağmen bana neden bu kadar yüksek rakamda bir fatura geldi üstelik borcun yok denmesine rağmen gereğin","...","#Fatura"
"Vodafone Cihaz Kasko İptali","Gamze","05 Temmuz 18:02","399","Anneme fatura ek telefon satın aldık ve anneme cihaz kaskosu yapılmış. 2 ay önce 542 ile görüştüm, iptal edildiğini söyledi fakat halen her ay faturay","...","#Fatura"
"Vodafone Fatura Asimi Bilgi Verilmedi","Ali","05 Temmuz 18:02","166","Vodafone tarifem bitmiş yeni tarife için iletişime geçilmedi bildirilmedi yüksek fatura gelince öğrendim şikayetçiyim fatura bilgisi gelmese haberim olmadı mevcut tarifem 190 TL sindi 626 TL gelmiş bir ay habersiz kullanmışım şikayetçiyim. Lütfen. Ben yüksek Fatura ödemek. Yüksek fatura gelmiş.","","#Fatura"
"Vodafone Sahte Numaralara Önlem","Berkay","05 Temmuz 18:01","211","Vodafone numarası gibi numaralardan arayıp kendilerini müşteri hizmetleri olarak tanıtıp benim hakkımda olan tüm bilgilere sahipler. Şu kadar zaman taahhüde zaman kalmış paket içerikleri isim soy ismime kadar tüm bilgilerim bu kişilerin ellerinde var. Aradıkları numara 0542********54 bu gibi durumla","...","#Faturalı Tarifeler"
"Vodafone İnternetim Olduğu Halde Aşım Paketi","Arda","05 Temmuz 17:54","380","Vodafone hala internetim olduğu halde 80 TL karşılığında 500 MB ek paket satın alıyor. Vodafone uygulamasında hala daha 3.5 GB internetim gözüküyor fakat internet kullanım haklarınızı bitirdiniz SMS'i ile birlikte 80 TL karşılığında aşım paketi alındı.","","#Aşım Ücreti"
"Vodafone Aynı Numarayı İki Kişiye Satıyor","Garip","05 Temmuz 17:53","119","Vodafone mağazasından yaklaşık 3 sene önce hat aldım. Aldıktan birkaç gün sonra aynı numarayı farklı bir kişi tarafından kullanıldığını öğrendim. Günlerce Vodafone ile görüşmeler sonucu düzeldiğini söylediler. Şu anda beni arayan kişiler farklı bir kişi ile görüştüklerini söylüyorlar. Bu nasıl bir s","...","#SIM Kartı"
"Vodafone Paket Geçiş Problemi","Mehmet","05 Temmuz 17:45","352","Vodafone Sınırsız red Lite paketine kampanyalı bir şekilde geçiş yapabiliyorum lakin bir üst paket olan Sınırsız red max paketine geçiş yapamıyorum. Canlı yayınlar yapacağım ve bu pakete ciddi anlamda ihtiyacım var. Diğer hiçbir paketiniz talebimi karşılamıyor. Red max paketine geçiş yapamama durumu","...","#Tarife Değişikliği"
"Vodafone Müşteri Hizmetleri Sorunu","Ahmet","05 Temmuz 17:45","91","Vodafone müşteri hizmetlerinden hiçbir şekilde yararlanamıyorum. İnternetimle ilgili problemim var. Abonelik işlemleri için 409 TL'ye anlaştım, faturam 543 TL'ye geldi. Hâlâ ne bir geri dönüş alabildim ne de müşteri hizmetleri yardımcı oldu. Ben böyle bir hizmet sektörü görmedim. Mağduriyetimin gide","...","#Fatura"
"Vodafone Bağlantı Ve İnternet Çekmiyorum Sorunu.","Mahmud","05 Temmuz 17:45","252","Silivri merkezde İnternetim ve şebeke çekmiyor. Defalarca müşteri hizmetlerini aradım, yaptıkları tek şey şebeke ayarlarını sıfırlamak. 20 defa aradım belki. Sorun yok diyorlar. Ben bundan çok sıkıldım. Yaklaşık 1 aydır düzgün internete erişemiyorum. Mağdurum","","#Şebeke"
"Vodafone Hat Taşıma Kabusu","Hüseyin","05 Temmuz 17:44","802","Vodafone'a hat taşımak için yaklaşık 2 aydır uğraşıyorum. 8 9 sefer Vodafone bayisine gittim. Başvuru esnasında hata oluşuyordu. Kimlik yenileme yaptım. Yine hata oluştu. Ehliyetle denediler olmuyor. Her gittiğimde 30 40 dakika işlem sürüyor 1 saat beklediğim oldu. En sonunda bu böyle olmayacak deyi","...","#Numara Taşıma"
"","Fatih","05 Temmuz 17:37","0","","",""
"Vodafone'u'nun ""Mobil Ödeme Servisi"" Saçmalığı","Recep","05 Temmuz 17:36","369","Cep telefonu operatörü olarak Vodafone kullanıyorum. Hattımda 12 ay taahhütlü olarak “Uyumlu Özel 7 GB. Paketi” bulunmaktadır. 29.01.2024 tarihinde bireysel onayım dışında hattıma Mobil Ödeme Servisi tanımlandı. Bu servis sebebi ile Şubat ayında tarife kapsamında 150.70 TL. Ödeyeceğim faturaya “Tahs","...","#Mobil Ödeme"
"Vodafone Yine Yavaş Ve Çalışma Yok","Mustafa","05 Temmuz 17:36","205","Vodafone internet çok yavaş, uygulaması sürekli hata veriyor. Müşteri hizmetleri baz istasyonlarında sorun olmadığını söylüyor. Tobi soru sorduğunda yazıyor yazıyor, roman mı yazıyor anlamadım. Yarım saat bekliyoruz. Geçenlerde şikayet ettim ama geri dönüş yapmadılar.","","#Mobil İnternet"
"Vodafone Tarife Fiyatları Enflasyonu 10 A Katlamış","Engin","05 Temmuz 17:36","135","Yaklaşık 15 yıldır Vodafone adına aktif 2 hattım vardır. 111TL tarifem bitince şimdi ondan kat kat kötü paketler 400TL ile çıkmaya başladı ülkede böyle bir enflasyon mu var başka kurumlarda alnı tarifeler 200 TL kampanya ile bulunmaktadır. Vodafone çözüm bulamazsa başka telekomünikasyona geçeceğim","","#Kampanya"
"Vodafone Geçmeyen ' Servis Yok ' Sorunu!","Hande","05 Temmuz 17:36","316","Vodafone hattım 3 yıldır çalıştığım iş yerinde hiçbir sorun yaşamama rağmen 1,5 haftadır asla çekmiyor. Ne interneti kullanabiliyorum ne de arayanlar ulaşabiliyor. 2 3 kez Vodafone'u aramama rağmen hala sorunum çözülemedi. Wap ayarları vs kapatma yaptılar telefonu açıp kapattırdılar ve hala düzelme","...","#Şebeke"
"Vodafone Tüm Tarifeleri Tavan Fiyattan Sunması","Hüseyin","05 Temmuz 17:26","330","Aktif olarak Vodafone kullanıcısıyım. Yıllardır kullandığım tarifemin taahhüdü dolmuş, 200 lira bandında ödediğim paketimin 674 TL bandına çıktığını g","...","#Faturalı Tarifeler"
"Vodafone Ek Paket Alma İmkansızlığı","Kübra","05 Temmuz 17:24","1.215","İnternetim hiçbir uyarı olmadan pat diye bitti. Telefondan arıyorsunuz, TOBi çıkıyor, TOBi link gönderiyor, buna tıkla diyor. İnternet olmadığı için tıklayamıyorsun ve alamıyorsun. Müşteri temsilcisi diyorsun, telesekretere ek paket diyorsun, link gönderip tıkla al diyor. Canlı temsilciye bağlanmak","...","#Faturalı Tarifeler"
"Vodafone Faturalandırma Olumsuz Lütfen Düzeltilsin","İlker","05 Temmuz 17:17","127","Güncel faturayı kontrol ettiğimde 150 TL den 250 TL'ye yükseltilmesi bizi çok üzdü böyle mi olmalıydı? Biz çok güzel yorumlar yaptık genel olarak her","...","#Fatura"
"Vodafone Usulsüz İndirim İptali Bedeli","Merve","05 Temmuz 17:16","267","31 Mayıs 2024 tarihinde Vodafone hattımı Vodafone çağrı merkezi müşteri temsilcisi ile görüşüp ""cayma / ceza bedeli ödemeyeceğim teyidini alarak, aynı gün Türk Telekom'a taşıdım. Yaklaşık 20 gün sonra tarafıma 133₺ kullanım bedelime ek olarak 778₺ ""indirim iptali"" yansıtıldığını gördüm. Yansıttıklar","...","#Cayma Bedeli"
"Vodafone Müşteri Hizmetleri Sorunu","Hüseyin","05 Temmuz 17:14","54","Vodafone müşteri hizmetlerine bir türlü bağlanamıyorum daha doğrusu ileri zeka Tobi bağlamıyor.! Biz sizin müşteriniz sizinle istediğimiz zaman iletişime geçemeyecek neden sizle devam edelim? Saçmalık ötesi bir şey...! Lütfen bana geri dönüş yapın!","",""
"Vodafone Tarife Tutarlarının Yüksekliği","Cansu","05 Temmuz 17:13","29","","","#Taahhüt"
"Vodafone Hediye Çarkında Beklenmedik Hata!","Aydın","05 Temmuz 16:54","192","Benim hediye çarkımda olmuyor. Bana acil internet lazım, yani Vodafone bunun için bence hediye internet vermesi lazım. Biz mağdur kalıyoruz. Vodafone çok iyi bir operatör. Bunca zamandır Vodafone'liyiz, bu zamana kadar hiç sıkıntı yaşamadık.","","#Hediye Çarkı"
"Vodafone Haksız Taahhüt Onayı, Onayım Dışında","Aykut","05 Temmuz 16:53","138","","","#Taahhüt"
"İstanbul'un Göbeğinde Vodafone Çekmiyor!","İlyas","05 Temmuz 16:25","295","Türk Telekom hattımı 04/07/2024 tarihinde Vodafone firmasına taşıdım fakat Vodafone İstanbul-Bağcılar-Mahmutbey Mahallesi'nde üst katlarda bile doğru düzgün çekmiyor. Bazen 1-2 kademe çekiyor, bazen hiç çekmediğinden arayanlar bana ulaşamıyor. İnternete giremiyorum, Vodafone'nin kendi sitesine ve uy","...","#Şebeke"
"Vodafone Müşteri Temsilcisine Bağlanamıyorum","Furkan","05 Temmuz 16:25","1.338","1 haftadır müşteri temsilcisine bağlanamıyorum. Sürekli hat düşüyor ve kimse geri de aramıyor. Saçma sapan menülere aktarıyor yok tobi yapar ne yapar","...","#Fatura"
"Vodafone Mobil Şikayet Hat","Aras","05 Temmuz 16:25","63","Merhabalar, müşteri hizmetleriniz kesinlikle yardımcı olmuyor. Bana telefonu suratıma kapatıyorlar. Lütfen yardımcı olun, son görüştüğüm kişi de surat","...","#Faturalı Tarifeler"
"Vodafone Zorunlu İnternet Paket Dayatması.","Orhan","05 Temmuz 16:24","215","Vodafone isteğim dışında bana akıllı internet paketi adı altında 500 MB internete 80 TL fatura bedeli yansıtarak haksiz kazanç sağlıyor. Bu bedelin iptal edilmesini talep ediyorum. Bu şirketin keyfi uyguları müşteri olarak insanı çıldırtıyor, telefon faturaları üç dört sene önceki ev kiraları ile ya","...","#İnternet Paketi"
"Vodafone Eksik Evraktan Dolayı Hat Kapandı","Altan","05 Temmuz 16:17","184","Aylar önce hat çıkarttım, Artvin/Hopa'dan. Yurt dışına çalışan bir tır şoförüyüm. Borcum olmamasına rağmen hat kısıtlandı. Eksik evrak sebebiyle diyor. Bayiyle iletişime geçtim, eksik evrak bulunmamaktadır diyor. Bu nasıl bir iş anlamadım. Kaç gündür mağduriyet yaşıyorum. Ne müşteri hizmetleri ne ba","...","#SIM Kartı"
"Vodafone Mobil Ödeme Ve Faturanın Otomatik Talimatı Ödememiş.","Kutlu","05 Temmuz 16:15","248","Merhaba, mobil ödeme tutarı otomatik fatura talimatından dolayı yatmamış. Bu da bize 59,90 TL'lik bir ödeme yansıtılmış. Bu konu ile ilgili gerekli incelemelerin yapılmasını istiyorum. Fatura talimatı verdiğim bankadan kaldırdık, otomatik olarak istemiyorum. Bu 59,90 TL'nin iadesini istiyorum.","","#Mobil Ödeme"
"Vodafone İnternet Çok Yavaş","Kenan","05 Temmuz 16:15","240","Vodafone hattı kullanıyorum, defalarca müşteri hizmetlerini aramama rağmen sorunumu çözemediler. Hattım full çekiyor ama internetim yok denecek kadar zayıf. Arıyorum, güncelledik, ayarlarınızı sıfırladık, telefonu kapatın 2 dakika sonra tekrar açın düzelecek diyorlar. Hep aynı çözümü denediler ve dü","...","#Mobil İnternet"
"Vodafone Müşteri Hizmetleri Şikayet","Tuğba","05 Temmuz 16:14","223","Vodafone müşteri hizmetlerine hiçbir şekilde bağlanmak mümkün değil sürekli farklı yerlere yönlendirip asla müşteri hizmetlerine bağlamıyor. Ayrıca benim bilgim olmadan tarifem yükseltilmiş asla bu hususta tarafıma bilgi verilmedi. Bununla ilgili gerekli bütün şikayetleri yapacağım ve hukuki yollara","...","#Faturasız Tarifeler"
"Vodafone Yeni Operatör Yıllardır Kullandığımdan Daha Uygun Teklif Verdi","Halim","05 Temmuz 15:56","170","","","#Faturalı Tarifeler"
"Vodafone Tarifelerde Herkese Başka Fiyat Veriyor Suistimal Ediliyorum!","Halil","05 Temmuz 15:55","622","Vodafone beni tarife seçiminde suistimal ediyor! Tarife sürem dolmak üzere ve bana sunulan tarifeler 220 liralardan başlıyor. Önceki tarifem 3gb internetli ve 65 liraydı. İnterneti 10gb olan paketlere yönelince fiyatlar 300-400 liraları buluyor. Bir de çevremde bazı insanlara uyumlu 10gb paketini 1","...","#Tarife Değişikliği"
"Vodafone Müşteri Temsilcisine Ulaşamama","Mihriban","05 Temmuz 15:50","1.066","Vodafone müşteri hizmetlerine bağlanmak cumhurbaşkanına bağlanmaktan daha zor, kendi kendine istediği yere yönlendirip yardımcı olmuyorlar. Müşteri temsilcisine bağlanmıyoruz zaten ne diye müşteri temsilcisi çalıştırıyorsunuz. İnsanı sinir krizine sokmaktan başka bir şey değil","","#Faturalı Tarifeler"
"Vodafone Faturam 3700 Gelmiş","Eyüp","05 Temmuz 15:50","78","Banada yaptılar yarın adliyeye gideceğim. Benim canım yandı. Bunlar meslek edinmiş ve benim telefonumdan yapılmamış bir işlem. Nasıl iptal edemiyorlar vallahi anlayamadım ve bunu nasıl yapabilirim iptal eden nasıl yapacak bana bir bilgi verin.","","#Fatura"
"Vodafone Şikayet Nane Dir","Cebrail","05 Temmuz 15:50","88","Müşteri hizmetli sina ulaşamıyorum kasetin dışında bir şeyle görüşemiyorum. Hep aynı şeyleri söyleyip duruyor. Canlı bağlantıya bağlanamıyorum. Xj özne bile gönderme eziyet firma ksb sen sen sen sen mal ve bir firmasın ki şikayetin bile bir dert senin gibi firmanın","",""
"Vodafone Müşteri Temsilcisi Şikayet","Ümit","05 Temmuz 15:49","72","Beni 5 Temmuz 2024'te müşteri hizmetleri aradı. Ben şu an trafikteyim, birazdan arayın dememe rağmen tekrar arayamayız deyip benim istemediğim bir pak","...","#Taahhüt"
"Vodafone Cepte Eğlen 2","Aslıhan","05 Temmuz 15:40","163","Vodafone, benim rızam, bilgim ve onayım olmadan CepteEğlen2 adlı uygulamadan aboneliğimi yapmış bulunmaktadır. Müşteri hizmetlerini aradım, üyeliğimi iptal etmek için bir sürü soru sordular. Sonunda iptal ettiler ama üyeliği yaparken haberim bile olmadı. Benden kesilen 218 TL tutarındaki paramın ger","...","#İçerik Servisleri"
"Vodafone Yanımda Uygulamasındaki Büyük Hata. Vodafone Güvenilmez Mi","Busra","05 Temmuz 15:32","126","Sayın Vodafone Bugün 5 Temmuz 2024 İstanbul kartıma 155 lira yükledim saat 14:07 civarında Vodafone yanımda uygulamasından başka numaraya WhatsApp internet paketi yapmak istedim. Paketi seçtim 45 liraydı tutarı seçtim kartı okuttum. Fakat İstanbul kartımdaki tüm parayı çekmişler.? Vodafone yanımda","...","#Yanımda"
"Vodafone Yaşlı Kullanıcıya Yanlışlıkla Başlatılan Abonelik Sorunu","Kadir","05 Temmuz 15:32","128","","","#İçerik Servisleri"
"Vodafone Müşteri Temsilcisine Bağlanamama","Muhammet","05 Temmuz 15:30","320","Bana ait olmayan satın alma işlemi için bir numara aradı beni Vodafone dan arıyoruz dedi. Sonra dedi ek paket almışsınız onaylıyor musunuz size şifre gelecek bana vermeniz gerekli dedi ne paket içeriğinden bahsetti ne aldığımı bilmiyorum bile hayır onaylamıyorum dedim yüzüme kapatıldı. Sonra hemen S","...","#Güvenli Depo"
"Vodafone Yeni Hat Aktivasyonu","Arzu","05 Temmuz 15:30","423","Vodafone'u şikayet etmek istiyorum. Hattım 4 gün olmasına rağmen açılmadı. Aradığım zaman hiçbir şekilde yardım edilmiyor. Vodafone online işlem merkezi otomatikman kapatıyor. 16 yaşından küçük çocuğuma yeni hat aldım. Hattım 4 gün olmasına rağmen yani 48 saatte olmasına rağmen halen açılmadı. Vodaf","...","#SIM Kartı"
